Movie_ID,Title,Year_release,Runtime(min),Genre,Image
1,Family Plot,2012,138,Drama,"https://m.media-amazon.com/images/M/MV5BMzhmMjEzODItMTYxYy00YjQ0LTg5MjQtYzEwODdkOGZkODNhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
2,Dog Day Afternoon,2011,100,Action,"https://m.media-amazon.com/images/M/MV5BMzhmMjEzODItMTYxYy00YjQ0LTg5MjQtYzEwODdkOGZkODNhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
3,The 39 Steps,2011,100,Comedy,"https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
4,The Bourne Ultimatum,2010,113,Drama,"https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
5,The Elephant Man,2010,116,Action,"https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR1,0,140,209_AL_.jpg"
6,Umberto D.,2009,109,Comedy,"https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
7,Doctor Zhivago,2008,104,Drama,"https://m.media-amazon.com/images/M/MV5BMzhmMjEzODItMTYxYy00YjQ0LTg5MjQtYzEwODdkOGZkODNhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
8,Match Point,2008,128,Biography,"https://m.media-amazon.com/images/M/MV5BODQ0NzY5NGEtYTc5NC00Yjg4LTg4Y2QtZjE2MTkyYTNmNmU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR4,0,140,209_AL_.jpg"
9,Vegas Vacation,2008,129,Biography,"https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
10,Once,2007,86,Drama,"https://m.media-amazon.com/images/M/MV5BYWUxZjJkMDktZmMxMS00Mzg3LTk4MDItN2IwODlmN2E0MTM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg"
11,The Terminal,2007,104,Drama,"https://m.media-amazon.com/images/M/MV5BYmMyZjQ3NDgtYzcyOS00NWI4LTliNjMtZDkxYzBjNzdkMzEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
12,Author! Author!,2006,143,Drama,"https://m.media-amazon.com/images/M/MV5BYWVhMDczZTQtOGMxYS00NmY3LTg1M2QtMDRmYzI3NmMzMTc0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg"
13,Black Narcissus,2006,117,Biography,"https://m.media-amazon.com/images/M/MV5BYWVhMDczZTQtOGMxYS00NmY3LTg1M2QtMDRmYzI3NmMzMTc0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg"
14,Vanilla Sky,2006,121,Comedy,"https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
15,Pulp Fiction,2004,152,Biography,"https://m.media-amazon.com/images/M/MV5BYWUxZjJkMDktZmMxMS00Mzg3LTk4MDItN2IwODlmN2E0MTM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg"
16,The Night of the Iguana,2001,124,Crimea,"https://m.media-amazon.com/images/M/MV5BODExY2Y2YzUtM2NhYi00ZmUwLWFkM2EtODFkYzBjOWRhMWIyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg"
17,The 400 Blows,1999,108,Comedy,"https://m.media-amazon.com/images/M/MV5BODQ0NzY5NGEtYTc5NC00Yjg4LTg4Y2QtZjE2MTkyYTNmNmU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR4,0,140,209_AL_.jpg"
18,Apollo 13,1995,140,Adventure,"https://m.media-amazon.com/images/M/MV5BYWVhMDczZTQtOGMxYS00NmY3LTg1M2QtMDRmYzI3NmMzMTc0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg"
19,Absence of Malice,1985,97,Comedy,"https://m.media-amazon.com/images/M/MV5BMGM0ZmIzNGItYTMwZS00MWM4LThkZmQtMmQ0MTg2ZTQ0NGUxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg"
20,Swordfish,1981,126,Drama,"https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
21,Going My Way,1932,112,Drama,"https://m.media-amazon.com/images/M/MV5BMTYzODgzMjAyM15BMl5BanBnXkFtZTcwMTI3NzI2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
22,Big Daddy,2013,93,Biography,"https://m.media-amazon.com/images/M/MV5BYWVhMDczZTQtOGMxYS00NmY3LTg1M2QtMDRmYzI3NmMzMTc0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg"
23,All the King's Men,2012,127,Drama,"https://m.media-amazon.com/images/M/MV5BMGM0ZmIzNGItYTMwZS00MWM4LThkZmQtMmQ0MTg2ZTQ0NGUxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg"
24,Argo,2012,120,Biography,"https://m.media-amazon.com/images/M/MV5BYWVhMDczZTQtOGMxYS00NmY3LTg1M2QtMDRmYzI3NmMzMTc0XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg"
25,Dial M for Murder,2012,165,Drama,"https://m.media-amazon.com/images/M/MV5BMzhmMjEzODItMTYxYy00YjQ0LTg5MjQtYzEwODdkOGZkODNhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
26,Lethal Weapon,2012,150,Biography,"https://m.media-amazon.com/images/M/MV5BODQ0NzY5NGEtYTc5NC00Yjg4LTg4Y2QtZjE2MTkyYTNmNmU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR4,0,140,209_AL_.jpg"
27,The Bourne Identity,2012,164,Action,"https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
28,The Godfather Part III,2012,169,Adventure,"https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR1,0,140,209_AL_.jpg"
29,The Magnificent Ambersons,2012,138,Drama,"https://m.media-amazon.com/images/M/MV5BODExY2Y2YzUtM2NhYi00ZmUwLWFkM2EtODFkYzBjOWRhMWIyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg"
30,The Naked Spur,2012,103,Drama,"https://m.media-amazon.com/images/M/MV5BODExY2Y2YzUtM2NhYi00ZmUwLWFkM2EtODFkYzBjOWRhMWIyXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg"
31,Wife vs. Secretary,2012,157,Drama,"https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
32,Grand Hotel,2011,111,Action,"https://m.media-amazon.com/images/M/MV5BMTYzODgzMjAyM15BMl5BanBnXkFtZTcwMTI3NzI2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
33,Guess Who's Coming to Dinner,2011,130,Adventure,"https://m.media-amazon.com/images/M/MV5BMTYzODgzMjAyM15BMl5BanBnXkFtZTcwMTI3NzI2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
34,Less Than Zero,2011,86,Drama,"https://m.media-amazon.com/images/M/MV5BODQ0NzY5NGEtYTc5NC00Yjg4LTg4Y2QtZjE2MTkyYTNmNmU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR4,0,140,209_AL_.jpg"
35,M,2011,102,Drama,"https://m.media-amazon.com/images/M/MV5BODQ0NzY5NGEtYTc5NC00Yjg4LTg4Y2QtZjE2MTkyYTNmNmU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR4,0,140,209_AL_.jpg"
36,Mary Poppins,2011,94,Comedy,"https://m.media-amazon.com/images/M/MV5BODQ0NzY5NGEtYTc5NC00Yjg4LTg4Y2QtZjE2MTkyYTNmNmU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR4,0,140,209_AL_.jpg"
37,Rain Man,2011,105,Action,"https://m.media-amazon.com/images/M/MV5BYWUxZjJkMDktZmMxMS00Mzg3LTk4MDItN2IwODlmN2E0MTM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg"
38,Swing Time,2011,120,Drama,"https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
39,The Accused,2011,124,Comedy,"https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
