Movie_ID,Title,Gross_Revenue(million dollars)
1,Family Plot,93.77
2,Dog Day Afternoon,35.06
3,The 39 Steps,44.67
4,The Bourne Ultimatum,31.18
5,The Elephant Man,93.62
6,Umberto D.,83.82
7,Doctor Zhivago,33.42
8,Match Point,31.84
9,Vegas Vacation,25.53
10,Once,9.44
11,The Terminal,9.42
12,Author! Author!,34.3
13,Black Narcissus,11.24
14,Vanilla Sky,12.9
15,Pulp Fiction,75.33
16,The Night of the Iguana,19.72
17,The 400 Blows,63.84
18,Apollo 13,173.84
19,Absence of Malice,10.6
20,Swordfish,35.86
21,Going My Way,2.69
22,Big Daddy,0.09
23,All the King's Men,6.74
24,Argo,136.03
25,Dial M for Murder,162.81
26,Lethal Weapon,182.21
27,The Bourne Identity,448.14
28,The Godfather Part III,303
29,The Magnificent Ambersons,16.38
30,The Naked Spur,17.74
31,Wife vs. Secretary,95.72
32,Grand Hotel,40.26
33,Guess Who's Coming to Dinner,381.01
34,Less Than Zero,3.41
35,M,2.98
36,Mary Poppins,56.82
37,Rain Man,176.76
38,Swing Time,1.73
39,The Accused,46.41
40,The Departed,82.58
41,The Great Train Robbery,102.52
42,The Great Gatsby,40.96
43,The Taking of Pelham One Two Three,13.3
44,The Visitor,24.15
45,"What's Up, Doc?",146.41
46,12 Angry Men,18.34
47,Another Year,3.21
48,Batman Forever,5.79
49,Being John Malkovich,106.95
50,Bill & Ted's Excellent Adventure,9.74
51,Double Indemnity,100.54
52,Gangs of New York,60.97
53,Grumpy Old Men,295.98
54,Harry Potter and the Chamber of Secrets,32.75
55,Harry Potter and the Deathly Hallows: Part 1,0.38
56,Little Miss Sunshine,32.37
57,That Thing You Do!,35.61
58,The Hours,138.8
59,The Seven Year Itch,96.96
60,The Sunshine Boys,92.19
61,Toy Story 2,415
62,Three Colors: Red,171.24
63,A Mighty Wind,9.19
64,A Place in the Sun,9.17
65,Alpha Dog,12.57
66,Austin Powers: International Man of Mystery,760.51
67,Full Metal Jacket,51.86
68,Guys and Dolls,301.96
69,"Planes, Trains & Automobiles",97.1
70,The Godfather Part II,277.32
71,The Great Ziegfeld,33.31
72,The Longest Day,43.82
73,The Man Who Came to Dinner,32.43
74,Last Tango in Paris,293
75,WALL·E,107.51
76,Forgetting Sarah Marshall,63.17
77,From Here to Eternity,18.59
78,Patton,87.34
79,Postcards from the Edge,12.8
80,Raging Bull,22.91
81,Sweet Smell of Success,3.08
82,The Bishop's Wife,127.51
83,The Boondock Saints,534.86
84,The Three Faces of Eve,26.24
85,Three Colors: White,110.52
86,Up,23.22
87,Vertigo,223.81
88,25th Hour,53.61
89,A Time to Kill,51.66
90,Alien,130.16
91,At Close Range,50.93
92,Batman Begins,7.08
93,Drive,17.11
94,Girlfight,20.3
95,Gypsy,292
96,Bicycle Thieves,5.97
97,The Red Circle,5.99
98,Martha Marcy May Marlene,49.03
99,Parenthood,4.45
100,Public Enemies,206.45
101,Quicksand,19.66
102,Summertime,121.46
103,Superman,52.9
104,The 40-Year-Old Virgin,3.9
105,The Aviator,227.47
106,The Blues Brothers,11.9
107,The Little Mermaid,4.6
108,The Towering Inferno,40.22
109,Willy Wonka & the Chocolate Factory,33.08
110,A Midsummer Night's Sex Comedy,5.5
111,Aladdin,7.22
112,Alias Jesse James,15.23
113,Ben-Hur,57.37
114,Blast from the Past,128.51
115,Dodsworth,103.37
116,Duck Soup,37.63
117,Fargo,5.54
118,Lenny,13.76
119,Liar Liar,5.46
120,Life,59.89
121,Meet Me in St. Louis,134.03
122,A Fistful of Dollars,423.32
123,The Delicate Delinquent,132.38
124,The Descendants,124.74
125,The FBI Story,10.14
126,The Fountain,59.95
127,The Hustler,17.61
128,The Odd Couple,53.09
129,The Outsiders,56.44
130,Ugetsu,31.57
131,A Family Affair,31.49
132,Bandits,206.85
133,Eastern Promises,1.71
134,Glengarry Glen Ross,31.56
135,Gunfight at the O.K. Corral,290.01
136,Magnolia,23.09
137,Sweetwater,50.82
138,Take the Money and Run,24.79
139,Taps,109.45
140,The Man with the Golden Gun,12.71
141,The Shop Around the Corner,7.36
142,The Stratton Story,5.02
143,A Very Long Engagement,70.51
144,Cries & Whispers,119.52
